https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BNB,Volume USDT,tradecount
1667779200000,2022-11-07 00:00:00,BNB/USDT,337.690,337.690,333.700,336.960,133610.31,44864331.49110,53269
1667692800000,2022-11-06 00:00:00,BNB/USDT,348.960,356.330,337.420,337.690,1593381.25,557030299.03393,766851
1667606400000,2022-11-05 00:00:00,BNB/USDT,354.370,361.000,345.830,348.970,1660276.61,587378479.56572,827346
1667520000000,2022-11-04 00:00:00,BNB/USDT,329.350,358.990,327.970,354.360,3226092.61,1119397479.64518,1404679
1667433600000,2022-11-03 00:00:00,BNB/USDT,319.980,339.000,317.830,329.360,2702424.87,891813699.15344,1196347
1667347200000,2022-11-02 00:00:00,BNB/USDT,323.660,329.630,315.010,319.980,2337902.08,752848072.07933,1101966
1667260800000,2022-11-01 00:00:00,BNB/USDT,325.600,334.250,316.880,323.670,2154109.81,700618026.42696,865808
1667174400000,2022-10-31 00:00:00,BNB/USDT,313.420,337.880,306.410,325.590,4298471.38,1398540629.54198,1552066
1667088000000,2022-10-30 00:00:00,BNB/USDT,304.410,319.300,302.140,313.420,2119755.13,660540263.48056,857661
1667001600000,2022-10-29 00:00:00,BNB/USDT,297.850,308.420,295.470,304.420,2009675.24,608962719.92708,824672
1666915200000,2022-10-28 00:00:00,BNB/USDT,286.680,301.080,285.520,297.850,1703353.21,499786166.00156,675921
1666828800000,2022-10-27 00:00:00,BNB/USDT,290.040,293.220,284.420,286.670,1220581.89,352045551.47408,531111
1666742400000,2022-10-26 00:00:00,BNB/USDT,284.050,291.950,284.040,290.060,1194211.68,344139024.87931,526697
1666656000000,2022-10-25 00:00:00,BNB/USDT,274.030,289.750,271.780,284.040,1622059.68,457365608.77261,628879
1666569600000,2022-10-24 00:00:00,BNB/USDT,275.740,277.380,271.380,274.020,671641.35,183890596.57740,329296
1666483200000,2022-10-23 00:00:00,BNB/USDT,270.280,276.640,268.420,275.730,652279.77,177646143.04509,321270
