https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LINK,Volume USDT,tradecount
1667779200000,2022-11-07 00:00:00,LINK/USDT,8.096,8.205,8.077,8.199,1059596.02,8627968.23745,15882
1667692800000,2022-11-06 00:00:00,LINK/USDT,8.661,8.768,8.085,8.096,31573146.47,268386121.50528,519195
1667606400000,2022-11-05 00:00:00,LINK/USDT,8.712,9.000,8.564,8.661,37432318.90,327933713.81887,609549
1667520000000,2022-11-04 00:00:00,LINK/USDT,7.717,8.895,7.654,8.712,68242924.44,567741811.30412,975344
1667433600000,2022-11-03 00:00:00,LINK/USDT,7.428,8.029,7.382,7.716,48216650.35,376375356.63980,671038
1667347200000,2022-11-02 00:00:00,LINK/USDT,7.679,7.993,7.332,7.428,57402809.05,442584243.57637,809777
1667260800000,2022-11-01 00:00:00,LINK/USDT,7.848,7.919,7.622,7.680,27132746.71,210556805.84456,407944
1667174400000,2022-10-31 00:00:00,LINK/USDT,7.776,8.325,7.657,7.848,71598320.72,570893421.76841,915237
1667088000000,2022-10-30 00:00:00,LINK/USDT,7.632,7.925,7.487,7.777,43114075.19,331467259.03459,618676
1667001600000,2022-10-29 00:00:00,LINK/USDT,7.105,7.655,7.076,7.633,38158044.33,280243099.13449,535480
1666915200000,2022-10-28 00:00:00,LINK/USDT,6.888,7.199,6.820,7.105,25525699.30,178485875.96178,370967
1666828800000,2022-10-27 00:00:00,LINK/USDT,7.153,7.364,6.850,6.888,31068632.68,221094065.56839,433264
1666742400000,2022-10-26 00:00:00,LINK/USDT,7.058,7.291,7.024,7.153,30056180.76,215152653.18240,402572
1666656000000,2022-10-25 00:00:00,LINK/USDT,6.903,7.279,6.809,7.057,33960957.88,238495661.96417,452523
1666569600000,2022-10-24 00:00:00,LINK/USDT,7.064,7.084,6.784,6.902,21690814.73,149969479.62928,301259
1666483200000,2022-10-23 00:00:00,LINK/USDT,6.866,7.086,6.801,7.064,20052022.80,138847519.14997,290762
1666396800000,2022-10-22 00:00:00,LINK/USDT,6.805,6.927,6.719,6.866,14363590.92,98229294.87939,217545
1666310400000,2022-10-21 00:00:00,LINK/USDT,6.655,6.845,6.435,6.806,31657200.47,210180720.17445,410827
1666224000000,2022-10-20 00:00:00,LINK/USDT,6.769,6.909,6.596,6.655,28115846.19,190180010.00816,369625
1666137600000,2022-10-19 00:00:00,LINK/USDT,7.122,7.132,6.700,6.768,25152385.01,174554398.11026,357671
1666051200000,2022-10-18 00:00:00,LINK/USDT,7.325,7.368,6.956,7.123,27952468.25,199871122.11819,370718
1665964800000,2022-10-17 00:00:00,LINK/USDT,7.164,7.371,7.062,7.325,28582327.41,206890503.06167,344931
1665878400000,2022-10-16 00:00:00,LINK/USDT,6.879,7.235,6.869,7.164,25005636.83,177106253.84330,351639
1665792000000,2022-10-15 00:00:00,LINK/USDT,6.882,6.983,6.812,6.879,16237887.15,112082613.08362,252166
1665705600000,2022-10-14 00:00:00,LINK/USDT,7.019,7.248,6.790,6.883,29775923.42,210392986.53850,425731
1665619200000,2022-10-13 00:00:00,LINK/USDT,7.141,7.155,6.288,7.021,52795030.45,357207682.39107,733595
1665532800000,2022-10-12 00:00:00,LINK/USDT,7.129,7.270,7.081,7.142,21887205.86,157034145.60155,306253
1665446400000,2022-10-11 00:00:00,LINK/USDT,7.328,7.382,7.061,7.129,34720926.42,250602290.80464,480198
1665360000000,2022-10-10 00:00:00,LINK/USDT,7.624,7.732,7.317,7.328,33049469.13,249547468.64661,475814
1665273600000,2022-10-09 00:00:00,LINK/USDT,7.452,7.653,7.411,7.624,17903817.35,135144009.43156,286308
1665187200000,2022-10-08 00:00:00,LINK/USDT,7.600,7.654,7.332,7.452,15017018.38,112717192.65622,260864
1665100800000,2022-10-07 00:00:00,LINK/USDT,7.628,7.795,7.465,7.600,27598518.53,210230161.86385,427127
1665014400000,2022-10-06 00:00:00,LINK/USDT,7.869,7.934,7.587,7.627,31547822.99,245588260.56105,459555
1664928000000,2022-10-05 00:00:00,LINK/USDT,7.717,7.938,7.582,7.870,45938394.75,356643716.52714,608002
