https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume EOS,Volume USDT,tradecount
1667779200000,2022-11-07 00:00:00,EOS/USDT,1.111,1.122,1.107,1.122,3211056.0,3578381.9154,5736
1667692800000,2022-11-06 00:00:00,EOS/USDT,1.167,1.173,1.104,1.111,138345526.0,159274188.0029,228107
1667606400000,2022-11-05 00:00:00,EOS/USDT,1.195,1.219,1.140,1.167,169351975.7,201177986.0924,257358
1667520000000,2022-11-04 00:00:00,EOS/USDT,1.147,1.198,1.136,1.195,194323514.2,228234729.3407,276108
1667433600000,2022-11-03 00:00:00,EOS/USDT,1.118,1.166,1.112,1.147,143857325.2,164779683.7691,229112
1667347200000,2022-11-02 00:00:00,EOS/USDT,1.141,1.180,1.097,1.117,207536046.1,236852324.4133,319410
1667260800000,2022-11-01 00:00:00,EOS/USDT,1.147,1.181,1.137,1.140,148087108.6,171239295.1836,230054
1667174400000,2022-10-31 00:00:00,EOS/USDT,1.109,1.156,1.095,1.147,162723790.6,182819130.2565,250245
1667088000000,2022-10-30 00:00:00,EOS/USDT,1.136,1.154,1.077,1.108,132488152.8,149021514.5050,203865
1667001600000,2022-10-29 00:00:00,EOS/USDT,1.136,1.164,1.120,1.135,172543996.3,197530764.0382,253938
1666915200000,2022-10-28 00:00:00,EOS/USDT,1.124,1.163,1.119,1.135,251588786.4,286912626.5702,319483
1666828800000,2022-10-27 00:00:00,EOS/USDT,1.126,1.153,1.111,1.123,187179857.0,211572571.4972,255980
1666742400000,2022-10-26 00:00:00,EOS/USDT,1.098,1.136,1.097,1.126,209099886.0,234063981.5280,273773
1666656000000,2022-10-25 00:00:00,EOS/USDT,1.067,1.129,1.050,1.098,230823103.9,250989567.5315,291304
1666569600000,2022-10-24 00:00:00,EOS/USDT,1.094,1.097,1.056,1.067,154316786.4,165255921.1446,194104
1666483200000,2022-10-23 00:00:00,EOS/USDT,1.066,1.098,1.062,1.094,162047675.1,174871785.1406,225385
1666396800000,2022-10-22 00:00:00,EOS/USDT,1.069,1.078,1.044,1.065,127034541.3,134831134.2169,189180
1666310400000,2022-10-21 00:00:00,EOS/USDT,1.042,1.079,1.005,1.068,273799154.7,285352090.9373,323265
1666224000000,2022-10-20 00:00:00,EOS/USDT,1.004,1.091,0.995,1.042,317758730.0,333636359.4897,390284
1666137600000,2022-10-19 00:00:00,EOS/USDT,1.048,1.054,0.990,1.004,151426143.2,155744926.9246,207511
1666051200000,2022-10-18 00:00:00,EOS/USDT,1.064,1.079,1.019,1.048,177034790.3,186012056.0321,215590
1665964800000,2022-10-17 00:00:00,EOS/USDT,1.049,1.068,1.037,1.063,106914306.2,112465262.2632,164161
1665878400000,2022-10-16 00:00:00,EOS/USDT,1.051,1.075,1.035,1.050,149566885.1,157588724.2165,212946
1665792000000,2022-10-15 00:00:00,EOS/USDT,1.007,1.073,1.001,1.051,201370387.5,210647188.0288,272799
1665705600000,2022-10-14 00:00:00,EOS/USDT,1.013,1.048,0.991,1.007,147008750.0,150386675.7306,200342
1665619200000,2022-10-13 00:00:00,EOS/USDT,1.038,1.042,0.932,1.014,277687977.2,273943410.1996,358730
1665532800000,2022-10-12 00:00:00,EOS/USDT,1.043,1.055,1.023,1.037,99775867.5,103959769.5524,165204
1665446400000,2022-10-11 00:00:00,EOS/USDT,1.033,1.062,1.003,1.043,165071308.8,171537364.3426,243255
1665360000000,2022-10-10 00:00:00,EOS/USDT,1.119,1.132,1.006,1.033,255436900.8,274288164.0605,347293
1665273600000,2022-10-09 00:00:00,EOS/USDT,1.111,1.134,1.108,1.119,69042697.9,77429938.0380,129308
1665187200000,2022-10-08 00:00:00,EOS/USDT,1.120,1.132,1.088,1.111,75048258.9,84055682.5508,145111
1665100800000,2022-10-07 00:00:00,EOS/USDT,1.154,1.166,1.101,1.119,135961406.4,154560979.0529,217225
1665014400000,2022-10-06 00:00:00,EOS/USDT,1.174,1.190,1.150,1.154,111329418.7,130872037.6582,171837
1664928000000,2022-10-05 00:00:00,EOS/USDT,1.199,1.202,1.154,1.174,117606424.5,138038069.2977,186901
1664841600000,2022-10-04 00:00:00,EOS/USDT,1.185,1.208,1.173,1.200,126835408.4,151253838.6161,190205
1664755200000,2022-10-03 00:00:00,EOS/USDT,1.159,1.193,1.146,1.186,184072193.6,216273916.0218,239641
1664668800000,2022-10-02 00:00:00,EOS/USDT,1.222,1.226,1.151,1.159,181326354.7,215527955.7306,259986
1664582400000,2022-10-01 00:00:00,EOS/USDT,1.183,1.234,1.179,1.222,181014877.9,217783884.0132,267634
1664496000000,2022-09-30 00:00:00,EOS/USDT,1.203,1.226,1.166,1.182,274856081.8,328904723.1137,376821
1664409600000,2022-09-29 00:00:00,EOS/USDT,1.147,1.229,1.143,1.203,393547851.1,468988517.8387,522185
1664323200000,2022-09-28 00:00:00,EOS/USDT,1.153,1.166,1.101,1.147,199931706.4,226612557.2346,295121
1664236800000,2022-09-27 00:00:00,EOS/USDT,1.181,1.226,1.136,1.152,218012975.7,258456407.0064,313936
1664150400000,2022-09-26 00:00:00,EOS/USDT,1.164,1.191,1.132,1.181,228371778.5,266431030.6212,347497
1664064000000,2022-09-25 00:00:00,EOS/USDT,1.197,1.220,1.141,1.164,146613232.1,174361527.7782,257358
1663977600000,2022-09-24 00:00:00,EOS/USDT,1.227,1.249,1.186,1.196,172484514.1,211240432.7588,266277
1663891200000,2022-09-23 00:00:00,EOS/USDT,1.236,1.259,1.164,1.228,288889495.3,350146937.0187,426810
1663804800000,2022-09-22 00:00:00,EOS/USDT,1.178,1.251,1.164,1.235,274517148.3,333534731.6455,426736
1663718400000,2022-09-21 00:00:00,EOS/USDT,1.337,1.363,1.155,1.179,407955350.0,521167933.7085,686684
1663632000000,2022-09-20 00:00:00,EOS/USDT,1.298,1.383,1.241,1.336,345205577.6,451373769.5347,503634
1663545600000,2022-09-19 00:00:00,EOS/USDT,1.272,1.312,1.208,1.298,260631927.6,329014195.0348,445986
1663459200000,2022-09-18 00:00:00,EOS/USDT,1.470,1.473,1.230,1.272,244537427.8,334841281.5688,447626
1663372800000,2022-09-17 00:00:00,EOS/USDT,1.423,1.490,1.415,1.470,150210563.9,217547952.8387,293319
1663286400000,2022-09-16 00:00:00,EOS/USDT,1.379,1.453,1.377,1.423,241886463.3,342682992.7149,475251
1663200000000,2022-09-15 00:00:00,EOS/USDT,1.472,1.483,1.363,1.380,257120386.2,367577557.3693,478958
1663113600000,2022-09-14 00:00:00,EOS/USDT,1.468,1.503,1.409,1.473,233854157.6,343031147.0787,460398
1663027200000,2022-09-13 00:00:00,EOS/USDT,1.657,1.695,1.459,1.468,293825221.9,468380052.8475,573615
1662940800000,2022-09-12 00:00:00,EOS/USDT,1.711,1.777,1.630,1.658,278274856.2,471587357.0924,496088
1662854400000,2022-09-11 00:00:00,EOS/USDT,1.747,1.835,1.663,1.711,252285599.0,440626605.5501,501874
1662768000000,2022-09-10 00:00:00,EOS/USDT,1.661,1.867,1.632,1.747,400363212.5,702076774.6995,759451
1662681600000,2022-09-09 00:00:00,EOS/USDT,1.601,1.748,1.564,1.660,408004398.6,678047339.8316,654477
1662595200000,2022-09-08 00:00:00,EOS/USDT,1.663,1.736,1.586,1.601,547622771.4,895915851.1998,784111
1662508800000,2022-09-07 00:00:00,EOS/USDT,1.393,1.703,1.358,1.663,670063409.3,1038940253.2363,938421
1662422400000,2022-09-06 00:00:00,EOS/USDT,1.568,1.588,1.372,1.394,331124839.6,495435121.7236,545214
1662336000000,2022-09-05 00:00:00,EOS/USDT,1.490,1.593,1.420,1.568,296560998.3,443851893.2708,510008
1662249600000,2022-09-04 00:00:00,EOS/USDT,1.517,1.545,1.465,1.491,176413151.1,263501388.3053,332985
1662163200000,2022-09-03 00:00:00,EOS/USDT,1.545,1.600,1.507,1.517,293486716.9,451731641.7415,482285
1662076800000,2022-09-02 00:00:00,EOS/USDT,1.480,1.590,1.477,1.545,508559224.8,777534406.5081,740302
1661990400000,2022-09-01 00:00:00,EOS/USDT,1.373,1.496,1.342,1.480,421021260.0,602768916.8986,651292
1661904000000,2022-08-31 00:00:00,EOS/USDT,1.392,1.447,1.361,1.372,250736550.4,351455768.5900,407000
1661817600000,2022-08-30 00:00:00,EOS/USDT,1.493,1.517,1.341,1.392,298042741.9,425820256.5890,478719
1661731200000,2022-08-29 00:00:00,EOS/USDT,1.424,1.504,1.401,1.493,257093190.4,372807714.1388,397927
1661644800000,2022-08-28 00:00:00,EOS/USDT,1.539,1.569,1.409,1.425,274081350.3,411872168.5193,435057
1661558400000,2022-08-27 00:00:00,EOS/USDT,1.546,1.560,1.465,1.540,352462439.8,533517018.2804,525717
1661472000000,2022-08-26 00:00:00,EOS/USDT,1.732,1.774,1.522,1.547,590694383.8,985734981.6614,959883
1661385600000,2022-08-25 00:00:00,EOS/USDT,1.773,1.789,1.657,1.731,481589716.8,826796740.4535,779761
1661299200000,2022-08-24 00:00:00,EOS/USDT,1.805,1.815,1.673,1.773,540836007.0,933865163.3851,833525
1661212800000,2022-08-23 00:00:00,EOS/USDT,1.835,1.900,1.707,1.804,940851983.8,1681225658.7438,1458212
1661126400000,2022-08-22 00:00:00,EOS/USDT,1.569,1.950,1.467,1.835,1438744095.4,2407102513.4149,2133056
1661040000000,2022-08-21 00:00:00,EOS/USDT,1.410,1.588,1.373,1.569,734294053.5,1082158317.9947,1087253
1660953600000,2022-08-20 00:00:00,EOS/USDT,1.271,1.427,1.267,1.410,370267921.1,499571894.5882,599723
1660867200000,2022-08-19 00:00:00,EOS/USDT,1.483,1.491,1.226,1.270,523845339.5,705146524.3908,783419
1660780800000,2022-08-18 00:00:00,EOS/USDT,1.480,1.562,1.413,1.483,483198666.5,707461520.2587,739199
1660694400000,2022-08-17 00:00:00,EOS/USDT,1.381,1.664,1.371,1.479,1127001111.9,1746651774.1891,1799430
1660608000000,2022-08-16 00:00:00,EOS/USDT,1.271,1.383,1.240,1.381,138477171.5,181754151.3108,317275
1660521600000,2022-08-15 00:00:00,EOS/USDT,1.304,1.354,1.246,1.272,90313597.0,116323401.9380,215868
1660435200000,2022-08-14 00:00:00,EOS/USDT,1.349,1.381,1.290,1.304,68333648.4,91486214.4750,176885
1660348800000,2022-08-13 00:00:00,EOS/USDT,1.328,1.410,1.321,1.349,74123391.4,100138404.0164,184171
1660262400000,2022-08-12 00:00:00,EOS/USDT,1.311,1.330,1.267,1.327,73418984.2,95346713.4907,185519
1660176000000,2022-08-11 00:00:00,EOS/USDT,1.276,1.336,1.275,1.311,114476726.0,149733591.8032,250565
1660089600000,2022-08-10 00:00:00,EOS/USDT,1.176,1.291,1.145,1.276,118883713.8,145038758.0206,247296
1660003200000,2022-08-09 00:00:00,EOS/USDT,1.251,1.258,1.154,1.176,92959404.3,111692980.8500,203948
1659916800000,2022-08-08 00:00:00,EOS/USDT,1.228,1.286,1.226,1.250,72258201.2,91086026.0979,160413
1659830400000,2022-08-07 00:00:00,EOS/USDT,1.226,1.252,1.199,1.229,52993788.3,65182331.5524,130849
1659744000000,2022-08-06 00:00:00,EOS/USDT,1.257,1.271,1.220,1.225,53794769.3,66893774.5011,133763
1659657600000,2022-08-05 00:00:00,EOS/USDT,1.187,1.270,1.185,1.258,79704655.2,98030933.4680,193406
1659571200000,2022-08-04 00:00:00,EOS/USDT,1.173,1.209,1.153,1.187,89931611.6,106448166.3562,198132
1659484800000,2022-08-03 00:00:00,EOS/USDT,1.186,1.232,1.147,1.173,88353926.7,105539274.4412,202861
1659398400000,2022-08-02 00:00:00,EOS/USDT,1.254,1.269,1.152,1.185,148745580.4,176640456.8819,304743
1659312000000,2022-08-01 00:00:00,EOS/USDT,1.331,1.368,1.229,1.255,102243986.9,132729890.6180,251521
1659225600000,2022-07-31 00:00:00,EOS/USDT,1.307,1.449,1.276,1.330,140876341.9,193163874.5589,338772
1659139200000,2022-07-30 00:00:00,EOS/USDT,1.299,1.386,1.264,1.308,88031244.1,115725023.9704,222946
1659052800000,2022-07-29 00:00:00,EOS/USDT,1.313,1.327,1.247,1.299,99360648.4,128075428.4101,244773
1658966400000,2022-07-28 00:00:00,EOS/USDT,1.255,1.356,1.231,1.314,159339011.7,204299978.6472,335564
1658880000000,2022-07-27 00:00:00,EOS/USDT,1.111,1.260,1.089,1.255,119331890.2,138326303.9017,255787
1658793600000,2022-07-26 00:00:00,EOS/USDT,1.106,1.113,1.064,1.110,98386244.2,107339307.0893,199925
1658707200000,2022-07-25 00:00:00,EOS/USDT,1.202,1.206,1.096,1.107,139893453.3,161776694.5226,242719
1658620800000,2022-07-24 00:00:00,EOS/USDT,1.164,1.264,1.160,1.202,216700609.3,265665751.6794,354456
1658534400000,2022-07-23 00:00:00,EOS/USDT,1.175,1.199,1.126,1.164,205055628.3,237657249.6010,339466
1658448000000,2022-07-22 00:00:00,EOS/USDT,1.052,1.217,1.037,1.175,300844683.1,344797552.6985,485045
1658361600000,2022-07-21 00:00:00,EOS/USDT,1.040,1.057,1.002,1.053,90106471.6,92659452.3513,186016
1658275200000,2022-07-20 00:00:00,EOS/USDT,1.075,1.103,1.026,1.040,151427404.3,162232022.6756,256209
1658188800000,2022-07-19 00:00:00,EOS/USDT,1.055,1.093,1.021,1.075,120064904.0,126579962.4515,216244
1658102400000,2022-07-18 00:00:00,EOS/USDT,0.984,1.069,0.981,1.055,98190385.4,101958965.0815,197413
1658016000000,2022-07-17 00:00:00,EOS/USDT,1.008,1.025,0.971,0.984,70563900.6,70419522.6287,144605
1657929600000,2022-07-16 00:00:00,EOS/USDT,0.974,1.015,0.950,1.008,66964229.6,65970829.8695,132502
1657843200000,2022-07-15 00:00:00,EOS/USDT,0.971,0.994,0.958,0.975,65186639.7,63503797.5717,142314
1657756800000,2022-07-14 00:00:00,EOS/USDT,0.949,0.978,0.914,0.971,82825046.0,78195505.1378,160720
1657670400000,2022-07-13 00:00:00,EOS/USDT,0.916,0.955,0.886,0.948,107377826.2,98762778.1983,183028
1657584000000,2022-07-12 00:00:00,EOS/USDT,0.940,0.950,0.914,0.915,63584318.5,59379965.2688,121208
1657497600000,2022-07-11 00:00:00,EOS/USDT,1.003,1.005,0.933,0.940,72630619.2,70950398.7843,143701
1657411200000,2022-07-10 00:00:00,EOS/USDT,1.038,1.039,0.995,1.002,53303414.6,54036249.9893,107898
